Nr	Sent	score	fi	punc	adv	itj	other	blocked
183	Er war im Begriff, sich wieder hinter die Baßviole zu flüchten; doch zuvor noch ein Knalleffekt: er zog seine silberne Taschenuhr hervor, zu jener Zeit ein seltener und kostbarer Schmuck.	4	0	0	4	0	0	false
184	Er steht vor der Tür und will dich holen, wenn du nicht ruhig bist!«	0	0	1	0	0	0	true
185	– »Du bist lange ausgeblieben, Johannes,« sagte sie; »ich dachte schon, du hättest dich im Brederholz verirrt.«	2	1	0	2	0	0	true
186	Es war im Juli 1756 früh um drei; der Mond stand klar am Himmel, aber sein Glanz fing an zu ermatten und im Osten zeigte sich bereits ein schmaler gelber Streif, der den Horizont besäumte und den Eingang einer engen Talschlucht wie mit einem Goldbande schloß.	1	0	0	1	0	0	false
187	»Es ist bald zehn,« sagte er.	1	0	0	1	0	0	true
188	Er kehrte niedergeschlagen zurück; seine Würde war verletzt, das allgemeine Gelächter schnitt ihm durch die Seele, ob er sich gleich durch einen tapfern Juchheschrei wieder in den Gang zu bringen suchte – es wollte nicht mehr recht gehen.	3	0	0	3	0	0	true
189	– »Wart du Unrast!	2	0	1	0	0	0	true
190	Das währte länger als ein volles Jahr, Wächter und Blaukittel, Blaukittel und Wächter, wie Sonne undMond, immer abwechselnd im Besitz des Terrains und nie zusammentreffend.	2	0	0	2	0	0	false
191	Die gute Frau von S. war sehr besorgt um ihn und wollte schon Leute aussenden, als man ihn die Treppe heraufstelzen hörte.	4	1	0	2	0	0	false
192	– »Das ist ja ein weiter Umweg; warum gingst du nicht durchs Brederholz?« –	1	1	1	1	0	0	true
193	Er sah übermüdet aus, gähnte, ließ mitunter seinen Kopf an einem verwitterten Stammknorren ruhen und Blicke, dämmeriger als der Horizont, über den mit Gestrüpp und Aufschlag fast verwachsenen Eingang des Grundes streifen.	2	0	0	2	0	0	false
194	Ich will Musik machen.«	0	0	0	0	0	0	true
195	Der Wind hatte sich gewendet und zischte jetzt wie eine Schlange durch die Fensterritze an seinem Ohr.	3	1	0	1	0	0	false
196	Friedrich ward still; er horchte noch ein Weilchen und schlief dann ein.	2	0	0	2	0	0	false
197	Friedrich lag im Grase, nach seiner gewohnten Weise, und schnitzelte an einem Weidenstabe, dessen knotigem Ende er die Gestalt eines ungeschlachten Tieres zu geben versuchte.	0	0	0	0	0	0	false
198	– »Ich bin durch den Föhrengrund gegangen.«	0	0	0	0	0	0	true
199	»Jetzt den Brautmenuett!	5	1	1	1	0	0	true
200	Nach einigen Stunden erwachte er.	0	0	0	0	0	0	false
201	Sein Hund lag in einiger Entfernung nah bei den Kühen, die unbekümmert um die Forstgesetze ebenso oft den jungen Baumspitzen als dem Grase zusprachen und in die frische Morgenluft schnaubten.	2	0	0	2	0	0	false
202	– »Was hat sie gekostet?« rief Wilm Hülsmeyer, Friedrichs Nebenbuhler.	0	0	1	0	0	0	true
203	Nach einer Weile bemerkte er, daß die Mutter auch nicht schlief.	1	0	0	1	0	0	false
204	Aus dem Walde drang von Zeit zu Zeit ein dumpfer, krachender Schall; der Ton hielt nur einige Sekunden an, begleitet von einem langen Echo an den Bergwänden und wiederholte sich etwa alle fünf bis acht Minuten.	4	1	0	2	0	0	false
205	Ich werde alt und du selig,« fügte er langsam hinzu.	0	0	0	0	0	0	true
206	Ein paarmal belebten sich seine Augen und nahmen den ihnen eigentümlichen glasartigen Glanz an, aber gleich nachher schloß er sie wieder halb und gähnte und dehnte sich, wie es nur faulen Hirten erlaubt ist.	6	0	0	6	0	0	false
207	Er sah trübe zu ihr auf:	0	0	0	0	0	0	false
208	»Eine prächtige Uhr!« sagte der Schweinehirt und schob sein Gesicht in ehrfurchtsvoller Neugier vor.	0	0	1	0	0	0	true
209	Seine Schulter war erstarrt; er kroch tief untersDeckbett und lag aus Furcht ganz still.	1	0	0	1	0	0	false
210	»Die Leute sagten mir, der Wald sei gefällt, und jetzt seien so viele Kreuz- und Querwege darin, da fürchtete ich, nicht wieder hinauszukommen.	4	1	0	4	0	0	true
211	– »Hast	0	0	0	0	0	0	true
212	»Gegrüßt seist du, Maria!« und: »Bitte für uns arme Sünder!«	0	0	2	0	0	0	true
213	Es fing bereits stark zu dämmern an; die Vögel begannen leise zu zwitschern und der Tau stieg fühlbar aus dem Grunde.	1	0	0	1	0	0	false
214	Ich sage dir, Ernst, das nimmt noch ein schlimmes Ende.«	1	0	0	1	0	0	true
215	– »Willst du sie bezahlen?« fragte Friedrich.	0	0	1	0	0	0	true
216	Er hörte sie weinen und mitunter:	1	0	0	1	0	0	false
217	– »Sahst du wohl,« sagte Frau von S. nachher zu ihrem Manne, »wie wunderlich und quer er aus den Augen sah?	4	1	1	2	0	0	true
218	Friedrich achtete nicht darauf; nur zuweilen, wenn das Getöse ungewöhnlich stark oder anhaltend war, hob er den Kopf und ließ seine Blicke langsam über die verschiedenen Pfade gleiten, die ihren Ausgang in dem Talgrunde fanden.	2	0	0	2	0	0	false
219	– Ein unwillkürlicher Seufzer entfuhr ihm.	0	0	0	0	0	0	true
220	Plötzlich fuhr er auf: über sein Gesicht fuhr ein Blitz, er horchte einige Sekunden mit vorgebeugtem Oberleib wie ein Jagdhund, dem die Luft Witterung zuträgt.	0	0	0	0	0	0	false
221	Die Felder waren leer, das Laub begann abzufallen und mancher Hektische fühlte die Schere an seinem Lebensfaden.	0	0	0	0	0	0	false
222	Friedrich warf einen stolzen Blick auf ihn und griff in schweigender Majestät zum Fidelbogen.	0	0	0	0	0	0	false
223	– »Friedrich, bist du wach?«	0	0	1	0	0	0	true
224	du	0	0	0	0	0	0	false
225	Die Kügelchen des Rosenkranzes glitten an seinem Gesicht hin.	0	0	0	0	0	0	false
226	Indessen nahte der September heran.	1	0	0	1	0	0	false
227	Friedrich war an dem Stamm hinabgeglitten und starrte, die Arme über den Kopf verschlungen in das leise einschleichende Morgenrot.	0	0	0	0	0	0	false
228	sie bezahlt?« antwortete Wilm.	0	0	1	0	0	0	true
229	– »Fidel, du verfluchtes Tier!«	0	0	1	0	0	0	true
230	Endlich kam er eines Abends nicht nach Hause.	1	0	0	1	0	0	false
231	Du weißt wohl, der Franz Ebel hatte auch eine schöne Uhr, bis der Jude Aaron sie ihm wieder abnahm.«	3	1	0	3	0	0	true
232	– »Kind, bete ein wenig – du kannst ja schon das halbe Vaterunser – daß Gott uns bewahre vor Wasser- und Feuersnot.«	2	2	0	2	0	0	true
233	Man dachte, die Herrschaft habe ihn verschickt, am zweiten auch nicht, am dritten Tage ward seine Hausfrau ängstlich.	1	0	0	1	0	0	false
234	Auch Johannes schien unter dem Einflusse des nahen Äquinoktiums zu leiden; die ihn in diesen Tagen sahen, sagen, er habe auffallend verstört ausgesehen und unaufhörlich leise mit sich selber geredet, was er auch sonst mitunter tat, aber selten.	6	0	0	6	0	0	false
235	Dann schob er schnell zwei Finger in den Mund und pfiff gellend und anhaltend.	1	0	0	1	0	0	false
236	– »Nun, nun,« sagte Hülsmeyer, »dergleichen hat man schon erlebt.	5	1	0	3	0	0	true
237	– »Ja, Mutter.«	0	1	0	0	0	0	true
238	Die Gutsherrschaft war indessen in die Kammer getreten, wo der Braut von den Nachbarfrauen das Zeichen ihres neuen Standes, die weiße Stirnbinde, umgelegt wurde.	1	0	0	1	0	0	false
239	Das mannigfache Geräusch und Getöse im Hause kam ihm wunderlich vor.	0	0	0	0	0	0	false
240	– »Gott bewahre,« sagte der Gutsherr, »ich weiß nichts von ihm; aber geschwind den Jäger gerufen und Försters Wilhelm!	3	0	1	1	0	0	true
241	Er ließ schnell seine Blicke über die Schlucht fahren und sie dann mit besonderer Schärfe auf dem Knaben verweilen, trat dann vor, winkte nach dem Gebüsch, und allmählich wurden sieben bis acht Männer sichtbar, alle in ähnlicher Kleidung, Weidmesser im Gürtel und die gespannten Gewehre in der Hand.	2	0	0	2	0	0	false
242	– Ein Steinwurf traf die Seite des unbesorgten Hundes, der, vom Schlafe aufgeschreckt, zuerst um sich biß und dann heulend auf drei Beinen dort Trost suchte, von wo das Übel ausgegangen war.	4	0	0	4	0	0	true
243	Friedrich antwortete nicht, sondern winkte stolz der ersten Violine, und sie begannen aus Leibeskräften zu streichen.	0	0	0	0	0	0	false
244	Friedrich dachte an den Teufel, wie der wohl aussehen möge.	3	1	0	1	0	0	false
245	In demselben Augenblicke wurden die Zweige eines nahen Gebüsches fast ohne Geräusch zurückgeschoben und ein Mann trat heraus, im grünen Jagdrock, den silbernen Wappenschild am Arm, die gespannte Büchse in der Hand.	1	0	0	1	0	0	false
246	Sie ging ins Schloß und fragte nach.	0	0	0	0	0	0	false
247	Sie sollte einem verworrenen Haushalt vorstehen, unter den Augen eines mürrischen alten Mannes, den sie noch obendrein lieben sollte.	2	0	0	2	0	0	false
248	»Hör, Mutter, gewiß, da sind Leute, die pochen.«	2	0	0	2	0	0	true
249	Wer weiß, ob er nicht gar eines von seinen schiefen Beinen gebrochen hat!	3	0	1	1	0	0	false
250	– »Ich wollte, daß der Racker auf der Stelle krepierte.	0	0	0	0	0	0	true
251	Er stand neben ihr, durchaus nicht wie der Bräutigam des Hohen Liedes, der »in die Kammer tritt wie die Morgensonne.«	1	0	0	1	0	0	true
252	Das junge Blut weinte sehr, teils weil es die Sitte so wollte, teils aus wahrer Beklemmung.	4	0	0	4	0	0	false
253	Er meinte, es müsse etwas Lebendiges drinnen sein und draußen auch.	3	0	0	3	0	0	false
254	»Friedrich, was war das?« fragte der zuerst Erschienene.	1	0	1	1	0	0	true
255	Wenn der armselige Krüppel,« setzte er bewegt hinzu, »auch nur in einen trockenen Graben gefallen ist, so kann er nicht wieder heraus.	4	0	0	4	0	0	true
256	Die Jäger kehrten nach einigen Stunden heim; sie hatten keine Spur gefunden.	0	0	0	0	0	0	false
257	– »Die Kanaille hat uns gesehen,« sagte ein anderer.	0	0	0	0	0	0	true
258	Sie sah demütig zu ihm auf und schien zu fühlen, daß er recht habe.	0	0	0	0	0	0	false
259	hörst du nicht?	2	0	1	0	0	0	true
260	– »Ach nein, Kind; aber es ist kein altes Brett im Hause, das nicht klappert.«	0	1	0	0	1	0	true
261	Seinetwegen können die Kühe mir die Ohren vom Kopf fressen.«	1	0	0	1	0	0	true
262	– Nehmt die Hunde mit,« rief er den abziehenden Jägern nach, »und sucht vor allem in den Gräben; seht in die Steinbrüche!« rief er lauter.	0	0	1	0	0	0	true
263	– »Du hast nun genug geweint,« sagte er verdrießlich; »bedenk, du bist es nicht, die mich glücklich macht, ich mache dich glücklich!« –	2	0	1	2	0	0	true
264	– »Hör!	2	0	1	0	0	0	true
265	– »Friedrich, stell dich nicht an wie ein Narr!	2	0	1	0	0	0	true
266	Friedrich warnicht mehr dort.	2	0	0	2	0	0	false
267	Hör doch!«	0	0	1	0	0	0	true
268	Du kennst mich und du verstehst mich auch!«	1	0	1	1	0	0	true
269	Aber er kann noch leben; drei Tage hält's ein Mensch wohl ohne Nahrung aus.«	2	1	0	2	0	0	true
270	– »Morgen sollst du auf die Reise mit einem Stein am Halse,« fuhr Friedrich fort und stieß nach dem Hunde.	0	0	0	0	0	0	true
271	Herr von S. war in großer Unruhe:	0	0	0	0	0	0	false
272	– Das Geschäft war beendigt; die junge Frau hatte ihrem Manne zugetrunken, junge Spaßvögel hatten durch den Dreifuß geschaut, ob die Binde gerade sitze, und man drängte sich wieder der Tenne zu, von wo unauslöschliches Gelächter und Lärm herüberschallte.	2	0	0	2	0	0	true
273	Es ruft!	2	0	1	0	0	0	false
274	»Wenn ich mir denke, daß einer so liegen muß wie ein Stein, und kann sich nicht helfen!	3	0	1	1	0	0	true
275	Friedrich war wie vernichtet fortgegangen und der Jude ihm gefolgt, immer schreiend: »O weh mir!	4	0	1	2	1	0	true
276	Man hörte deutlich an den Fensterläden pochen und mehrere Stimmen:	0	0	0	0	0	0	false
277	– »Herr Brandis, denkt an meine Mutter!«	0	0	1	0	0	0	true
278	– Ein Kind hatte   ihn gesehen, wie er am Rande des Brederholzes saß und an einem Löffel schnitzelte; »er schnitt ihn aber ganz entzwei,« sagte das kleine Mädchen.	2	0	0	2	0	0	true
279	Eine große, unerträgliche Schmach hatte ihn getroffen, da der Jude Aaron, ein Schlächter und gelegentlicher Althändler aus dem nächsten Städtchen, plötzlich erschienen war, und nach einem kurzen, unbefriedigenden Zwiegespräch ihn laut vor allen Leuten um den Betrag von zehn Talern für eine schon um Ostern gelieferte Uhr gemahnt hatte.	3	1	0	1	0	0	false
280	Die Mutter richtete sich auf; das Toben des Sturms ließ einen Augenblick nach.	0	0	0	0	0	0	false
281	– Er machte sich selbst auf den Weg; in allen Häusern wurde nachgefragt, überall in die Hörner geblasen, gerufen, die Hunde zum Suchen angehetzt – umsonst!	5	0	1	3	0	0	true
282	– Ein Blick begleitete diese Worte, der schnell wirkte.	0	0	0	0	0	0	true
283	Frau Margreth, heda, aufgemacht!«	0	0	1	0	0	0	true
284	Hast du nichts im Walde gehört?«	0	0	1	0	0	0	true
285	Nachmittags fand sich wieder eine Spur: abermals ein Kind, das ihn an der andern Seite des Waldes bemerkt hatte, wo er im Gebüsch gesessen, das Gesicht auf den Knien, als ob er schliefe.	3	0	0	3	0	0	false
286	– Die Tenne tobte von Gelächter; manche hatten sich auf den Hof nachgedrängt.	0	0	0	0	0	0	true
287	– Margreth stieß einen heftigen Laut aus:	0	0	0	0	0	0	true
288	Warum hab' ich nicht gehört auf vernünftige Leute!	2	0	1	0	0	0	true
289	»Margreth!	2	0	1	0	0	0	true
290	Das war vor zwei Tagen gewesen.	0	0	0	0	0	0	false
291	– »Das tu ich.	0	0	0	0	0	0	true
292	Haben sie mir nicht hundertmal gesagt, Ihr hättet all Eur Gut am Leibe und kein Brod im Schranke!«	1	0	1	1	0	0	true
293	Der Knabe warf einen raschen Blick auf des Försters Gesicht.	0	0	0	0	0	0	false
294	Es schien, er hatte sich immer um das Brederholz herumgetrieben.	1	0	0	1	0	0	false
295	Wiegt ihn gegen ein Schwein!« riefen einige; andere waren ernst geworden.	0	0	1	0	0	0	true
296	Der Rosenkranz flog klappernd auf den Brettstuhl, die Kleider wurden herbeigerissen.	0	0	0	0	0	0	false
297	»Wenn nur das verdammte Buschwerk nicht so dicht wäre!	4	0	1	2	0	0	true
298	Das war noch am vorigen Tage.	1	0	0	1	0	0	false
299	– »Im Walde?« –	0	0	1	0	0	0	true
300	– »Packt den Juden!	2	0	1	0	0	0	true
301	»Da bringen sie mir das Schwein wieder!«	2	0	1	2	0	0	true
302	Herr von S. war auf dem Heimwege verstimmt, die jedesmalige Folge, wenn der Wunsch, seine Popularität aufrecht zu erhalten, ihn bewog, solchen Festen beizuwohnen.	0	0	0	0	0	0	false
303	Margreth kam gar nicht wieder; aber in der Küche war viel Gemurmel und fremde Stimmen.	3	0	0	3	0	0	false
304	Man trieb die Hunde in den jungen Schlag; man blies und hallote und kehrte endlich mißvergnügt heim, als man sich überzeugt, daß die Tiere den ganzen Wald abgesucht hatten.	1	0	0	1	0	0	false
305	Die ohnehin dunkle Gesichtsfarbe des Försters ging in tiefes Braunrot über.	1	0	0	1	0	0	false
306	– »Eure Holzfäller, sonst nichts.«	1	0	0	1	0	0	true
307	– »Der Friedrich sah so blaß aus wie ein Tuch,« sagte eine alte Frau, und die Menge teilte sich, wie der Wagen des Gutsherrn in den Hof lenkte.	1	0	0	1	0	0	true
308	Sie fuhr zum Herde und bald darauf hörte Friedrich sie mit trotzigen Schritten über die Tenne gehen.	1	0	0	1	0	0	false
309	– »Meine Holzfäller!«	0	0	1	0	0	0	true
310	da kann keine Seele hindurch,« sagte der Gutsherr.	2	0	0	2	0	0	true
311	»Was sind denn das für ein paar Figuren?« –	1	0	1	1	0	0	true
312	Mit einemmale ward eine Lampe hereingebracht.	1	0	0	1	0	0	false
313	laßt nicht nach!«	0	0	1	0	0	0	true
314	– »Wohin Ihr sie geschickt habt; ich weiß es nicht.«– Brandis wandte sich zu seinen Gefährten:	0	0	0	0	0	0	true
315	Er deutete auf zwei dunkle Gestalten, die vor dem Wagen rannten wie Strauße.	0	0	0	0	0	0	false
316	Er sah schweigend aus dem Wagen.	0	0	0	0	0	0	false
317	Zweimal kam ein fremder Mann in die Kammer und schien ängstlich etwas zu suchen.	1	0	0	1	0	0	false
318	»Wie viele sind ihrer, und wo treiben sie ihr Wesen?«	0	0	1	0	0	0	true
319	– »Laßt nicht nach!	2	0	1	0	0	0	true
320	– Der Baron war fast ebenso beängstigt wie sie.	2	0	0	2	0	0	true
321	Als einer nach dem andern im Dickicht verschwunden war, trat Brandis dicht vor den Knaben:	0	0	0	0	0	0	false
322	– »Auch ein paar selige Schweine aus unserm eigenen Stall!« seufzte Herr von S.	1	0	1	1	0	0	true
323	Friedrich meinte, sie sei tot; er erhob ein fürchterliches Geschrei, worauf ihm jemand eine Ohrfeige gab, was ihn zur Ruhe brachte, und nun begriff er nach und nach aus den Reden der Umstehenden, daß der Vater vom Ohm Franz Semmler und dem Hülsmeyer tot im Holze gefunden sei und jetzt in der Küche liege.	4	1	0	2	0	0	false
324	Zwei Männer führten die Mutter.	0	0	0	0	0	0	false
325	»Geht voran; ich komme gleich nach.«	1	0	0	1	0	0	true
326	bat Frau von S.; »besser ein paar Schritte umsonst, als daß etwas versäumt wird.«	1	0	0	1	0	0	true
327	Nun schlüpften sie ins Schloß.	1	0	0	1	0	0	false
328	Sie war weiß wie Kreide und hatte die Augen geschlossen.	0	0	0	0	0	0	false
329	Ihr Lumpenpack, dem kein Ziegel auf dem Dach gehört!	2	0	1	0	0	0	false
330	Sie behaupteten, von des alten Mergels Geist verfolgt worden zu sein, als sie durchs Brederholz heimkehrten.	0	0	0	0	0	0	false
331	Der Bruder blieb bei ihr und Friedrich, dem bei strenger Strafe im Bett zu bleiben geboten war, hörte die ganze Nacht hindurch das Feuer in der Küche knistern und ein Geräusch wie von Hin- und Herrutschen und Bürsten.	1	0	0	1	0	0	false
332	Bis zum Betteln habt ihr es, gottlob, bald gebracht, und an meiner Tür soll deine Mutter, die alte Hexe, keine verschimmelte Brodrinde bekommen.	2	0	0	2	0	0	true
333	Da stand sein Bett noch ungemacht, wie er es verlassen hatte; dort hing sein guter Rock, den ihm die gnädige Frau aus dem alten Jagdkleide des Herrn hatte machen lassen; auf dem Tische ein Napf, sechs neue hölzerne Löffel und eine Schachtel.	3	0	0	3	0	0	false
334	»Friedrich,« sagte er mit dem Ton unterdrückter Wut, »meine Geduld ist zu Ende; ich möchte dich prügeln wie einen Hund, und mehr seid ihr auch nicht wert.	2	0	0	2	0	0	true
335	Seine Unruhe trieb ihn sogar nach Johannes' Wohnung, obwohl er sicher war, ihn dort nicht zu finden.	2	0	0	2	0	0	true
336	Zu Hause angekommen, fand er die Hausflur vom ganzen Dienstpersonal eingenommen, das zwei Kleinknechte umstand, welche sich blaß und atemlos auf der Stiege niedergelassen hatten.	0	0	0	0	0	0	false
337	Sobald Margreth wieder zur Besinnung kam, suchte sie die fremden Leute loszuwerden.	1	0	0	1	0	0	false
338	Er ließ sich die Kammer des Verschollenen aufschließen.	0	0	0	0	0	0	false
339	Der eine wollte auch glühende Augen durch die Zweige funkeln gesehen haben, und beide waren gelaufen, was ihre Beine vermochten.	1	0	0	1	0	0	false
340	Einmal verstand er, daß der Oheim sagte: »Margreth, zieh dir das nicht zu Gemüt; wir wollen jeder drei Messen lesen lassen, und um Ostern gehen wir zusammen eine Bittfahrt zur Muttergottes von Werl.«	2	0	0	2	0	0	true
341	Friedrich griff krampfhaft nach einem Aste.	0	0	0	0	0	0	false
342	»Ein Andenken von Mergel,« murmelte er und trat hinaus, denn ihm ward ganz beengt in dem dumpfen, engen Kämmerchen.	1	0	0	1	0	0	true
343	Zuerst hatte es über ihnen an der Höhe gerauscht und geknistert; darauf hoch in der Luft ein Geklapper wie von aneinander geschlagenen Stöcken; plötzlich ein gellender Schrei und ganz deutlich die Worte: »O weh, meine arme Seele!« hoch von oben herab.	6	0	1	6	1	0	true
344	Gesprochenward wenig und leise, aber zuweilen drangen Seufzer herüber, die dem Knaben, so jung er war, durch Mark und Bein gingen.	3	0	0	3	0	0	false
345	Der Gutsherr öffnete sie; fünf Groschen lagen darin, sauber in Papier gewickelt, und vier silberne Westenknöpfe; der Gutsherr betrachtete sie aufmerksam.	0	0	0	0	0	0	false
346	Aber vorher sollt ihr mir noch beide ins Hundeloch!«	2	0	1	2	0	0	true
347	Nach einigen Minuten, als alles still geworden war, sagte sie in sich hinein: »Zehn Jahre, zehn Kreuze.	0	0	0	0	0	0	true
348	Doch nur einen Augenblick.	1	0	0	1	0	0	false
349	So war er denn zum zweitenmal verschwunden; ob man ihn wiederfinden würde – vielleicht einmal nach Jahren seine Knochen in einem trockenen Graben?	7	0	1	5	0	1	true
350	»Hm,« sagte der Gutsherr, »was die Schelme nicht stehlen, das verderben die Narren.«	0	0	0	0	1	0	true
351	Wir haben sie doch zusammen getragen, und jetzt bin ich allein!« dann lauter:	5	1	1	5	0	0	true
352	»Dummes Zeug!« sagte der Gutsherr verdrießlich und trat in die Kammer, sich umzukleiden.	0	0	1	0	0	0	true
353	Als nach zwei Tagen die Leiche fortgetragen wurde, saß Margreth am Herde, das Gesicht mit der Schürze verhüllend.	0	0	0	0	0	0	false
354	Die Nachsuchungen wurden fortgesetzt, bis man sich überzeugt hatte, Johannes sei nicht mehr in der Gegend, wenigstens nicht lebendig.	2	0	0	2	0	0	false
355	Er war totenbleich und seine Augen schienen wie Kristallkugeln aus dem Kopfe schießen zu wollen.	0	0	0	0	0	0	false
356	Am andern Morgen wollte die Fontäne im Garten nicht springen, und es fand sich, daß jemand eine Röhre verrückt hatte, augenscheinlich um nach dem Kopfe eines vor vielenJahren hier verscharrten Pferdegerippes zu suchen, der für ein bewährtes Mittel wider allen Hexen-und Geisterspuk gilt.	3	1	0	1	0	0	false
357	– »Herr,« sagte er fest, mitfast sanfter Stimme; »Ihr habt gesagt, was Ihr nicht verantworten könnt, und ich vielleicht auch.	3	0	0	3	0	0	true
358	Vierzehn Tage später kehrte der junge Brandis morgens von einer Besichtigung seines Reviers durch das Brederholz heim.	1	0	0	1	0	0	false
359	Es war Mitternacht, aber alles im Schlosse außer dem Bett.	0	0	0	0	0	0	false
360	– Friedrich kam scheu heran; die Mutter war ihm ganz unheimlich geworden mit den schwarzen Bändern und den verstörten Zügen.	1	0	0	1	0	0	true
361	Es war ein für die Jahreszeit ungewöhnlich heißer Tag; die Luft zitterte, kein Vogel sang, nur die Raben krächzten langweilig aus den Ästen und hielten ihre offenen Schnäbel der Luft entgegen.	1	0	0	1	0	0	false
362	Ihn lebend wieder zu sehen, dazu war wenig Hoffnung, und jedenfalls nach achtundzwanzig Jahren gewiß nicht.	3	0	0	3	0	0	false
363	Dann kehrte die größte, an Erschlaffung grenzende Ruhe zurück.	1	0	0	1	0	0	false
364	Drei Tage später tobte ein furchtbarer Sturm.	0	0	0	0	0	0	false
365	»Fritzchen, komm her!«	0	0	1	0	0	0	true
366	An den Scheiben flogen Blätter und Zweige her; mitunter fuhr ein Ziegel hinab und schmetterte auf das Pflaster des Hofes.	1	0	0	1	0	0	false
367	– »Mutter, Hülsmeyer stiehlt.«	0	0	0	0	0	0	true
368	Bald nahm er seine von der Sonne durchglühte Kappe ab, bald setzte er sie wieder auf.	3	0	0	3	0	0	false
369	Ich habe sie nicht gesehen, aber den Hohlweg hinauffahren hören.«	1	0	0	1	0	0	true
370	Wir wollen es gegeneinander aufgehen lassen, und nun will ich Euch sagen, was Ihr verlangt.	2	0	0	2	0	0	true
371	Der Gutsherr stand am Fenster und sah besorgt ins Dunkle, nach seinen Feldern hinüber.	1	0	0	1	0	0	false
372	»Fritzchen,« sagte sie, »willst du jetzt auch fromm sein, daß ich Freude an dir habe, oder willst du unartig sein und lügen, oder saufen und stehlen?«	2	1	1	2	0	0	true
373	Wenn Ihr die Holzfäller nicht selbst bestellt habt, so müssen es die Blaukittel sein; denn aus dem Dorfe ist kein Wagen gekommen; ich habe den Weg ja vor mir, und vier Wagen sind es.	3	1	0	3	0	0	true
374	Brandis   war sehr ermüdet.	1	0	0	1	0	0	false
375	Seine Frau sah ängstlich aus.	0	0	0	0	0	0	false
376	Gott bewahre!	2	0	1	0	0	0	false
377	Ringsumher kein Baum außer der Judenbuche.	1	0	0	1	0	0	false
378	– »Könnt Ihr sagen, daß ich je einen Baum in Eurem Revier gefällt habe?	3	0	1	1	0	0	true
379	»Ist das Feuer auch gewiß gut verwahrt?« sagte sie; »Gretchen, sieh noch einmal nach, gieß es lieber ganz aus!	8	0	2	6	0	0	true
380	– »Furchtbares Wetter!« sagte Herr von S.	0	0	1	0	0	0	true
381	– »Hülsmeyer?	2	0	1	0	0	0	true
382	– Er stockte einen Augenblick.	0	0	0	0	0	0	true
383	Es war alles gleich unerträglich, das Arbeiten durch den kniehohen Schlag sehr beschwerlich.	2	0	0	2	0	0	false
384	Die Kühle zog so angenehm durch seine Glieder, daß er die Augen schloß.	1	0	0	1	0	0	false
385	Denkt nach, ob Ihr das sagen könnt?«	0	0	1	0	0	0	true
386	Alles kniete nieder und die Hausfrau begann:	0	0	0	0	0	0	false
387	– »Er hat neulich den Aaron geprügelt und ihm sechs Groschen genommen.«	1	0	0	1	0	0	true
388	Soll ich dir auf den Rücken kommen?	2	0	1	0	0	0	true
389	Überhaupt, daß ich je anderwärts gehauen habe, als auf Bestellung?	5	0	1	3	0	0	true
390	Dahin strebte er denn auch aus allen Kräften und ließ sich todmatt auf das beschattete Moos darunter nieder.	2	0	0	2	0	0	false
391	– Kommt, wir wollen das Evangelium Johannis beten.«	0	0	0	0	0	0	true
392	wer sagt dir so schlechtes Zeug?«	1	0	1	1	0	0	true
393	Er wandte sich unwirsch und schritt dem Gebüsche zu.	0	0	0	0	0	0	false
394	Ein furchtbarer Donnerschlag.	0	0	0	0	0	0	false
395	Hülsmeyer ist ein ordentlicher, angesessener Mann, und die Juden sind alle Schelme.«	0	0	0	0	0	0	true
396	– »Nein, Herr,« rief Friedrich, »wenn Ihr zu den andern Förstern wollt, die sind dort an der Buche hinaufgegangen.«	1	1	0	1	0	0	true
397	Brandis glaubt solche unangenehmen Nachbarn zu spüren, er wandte sich ein paarmal hin und her, mochte aber doch nicht aufstehen; sein Hund sprang unterdessen umher, kratzte am Stamm der Buche und bellte hinauf.	4	0	0	4	0	0	false
398	Ein verlegenes Murmeln war die ganze Antwort des Försters, der nach Art der meisten rauhen Menschen leicht bereute.	0	0	0	0	0	0	false
399	»Schändliche Pilze!« murmelte er halb im Schlaf.	0	0	1	0	0	0	true
400	»Im Anfang war das Wort und das Wort war bei Gott und Gott war das Wort.«	0	0	0	0	0	0	true
401	– »Hat er dem Aaron Geld genommen, so hat ihn der verfluchte Jude gewiß zuvor darum betrogen.	3	0	0	3	0	0	true
402	Es gibt nämlich in jener Gegend eine Art sehr saftiger Pilze, die nur ein paar Tage stehen, dann einfallen und einen unerträglichen Geruch verbreiten.	4	0	0	4	0	0	false
403	– »Um Gottes willen!	2	0	1	0	0	0	true
404	– »Kind, Brandis ist ein Förster.«	0	0	0	0	0	0	true
405	– »Ich sage Euch, an der Buche; des langen Heinrich Flintenriemen blieb noch am krummen Ast dort hängen; ich hab's ja gesehen!«	3	1	1	3	0	0	true
406	Eine Katze?« murmelte Brandis.	0	0	1	0	0	0	true
407	Alle fuhren zusammen; dann furchtbares Geschrei und Getümmel die Treppe heran.	1	0	0	1	0	0	false
408	– »Aber, Mutter, Brandis sagt auch, daß er Holz und Rehe stiehlt.«	1	0	0	1	0	0	true
409	– »Was hast du da, Bello?	3	0	1	1	0	0	true
410	– »An der Buche?« sagte Brandis zweifelhaft, »nein, dort hinüber, nach dem Mastergrunde.«	2	1	1	2	0	0	true
411	Margreth schwieg eine Weile; dann sagte sie:	1	0	0	1	0	0	false
